 keyword	Units	Component	Description	Internal
IMP_AV_D3_F	rpm	Powertrain	Front output shaft speed of transfer case	0
IMP_AV_D3_R	rpm	Powertrain	Rear output shaft speed of transfer case	0
IMP_AV_ENG	rpm	Powertrain	Engine speed (external engine only)	0
IMP_AV_TC	rpm	Powertrain	Torque converter speed (external transmission only)	0
IMP_AV_TRANS	rpm	Powertrain	Transmission output speed (external transfer case or external differential only)	0
IMP_AX_FIELD	m/s2	Environment	Field acceleration in global X direction	0
IMP_AY_FIELD	m/s2	Environment	Field acceleration in global Y direction	0
IMP_AZ_FIELD	m/s2	Environment	Field acceleration in global Z direction	0
IMP_BK_BOOST	mm	Brakes	Brake booster input displacement	VARIABLE
IMP_BK_STAT	-	Brakes	Brake apply status: 0 or 1	VARIABLE
IMP_CLT_D1_2	-	Powertrain	Clutch control for front differential (second clutch)	0
IMP_CLT_D2_2	-	Powertrain	Clutch control for rear differential (second clutch)	0
IMP_CLT_D3_2	-	Powertrain	Clutch control for transfer case (second clutch)	0
IMP_CLUTCH	-	Powertrain	Clutch control for transmission	VARIABLE
IMP_CLUTCH_D1	-	Powertrain	Clutch control for front differential	0
IMP_CLUTCH_D2	-	Powertrain	Clutch control for rear differential	0
IMP_CLUTCH_D3	-	Powertrain	Clutch control for transfer case	0
IMP_CLUTCH_L1	-	Powertrain	Twin clutch control for front left wheel	0
IMP_CLUTCH_L2	-	Powertrain	Twin clutch control for rear left wheel	0
IMP_CLUTCH_R1	-	Powertrain	Twin clutch control for front right wheel	0
IMP_CLUTCH_R2	-	Powertrain	Twin clutch control for rear right wheel	0
IMP_CMP_EXT_L1	mm	Suspensions	Additional spring deflection for L1	VARIABLE
IMP_CMP_EXT_L2	mm	Suspensions	Additional spring deflection for L2	VARIABLE
IMP_CMP_EXT_R1	mm	Suspensions	Additional spring deflection for R1	VARIABLE
IMP_CMP_EXT_R2	mm	Suspensions	Additional spring deflection for R2	VARIABLE
IMP_DSTEER_CON_L1	deg/s	Steering	Derivative of steering gear control for L1 wheel (input to nonlinear steering kinematics table)	0
IMP_DSTEER_CON_L2	deg/s	Steering	Derivative of steering gear control for L2 wheel (input to nonlinear steering kinematics table)	0
IMP_DSTEER_CON_R1	deg/s	Steering	Derivative of steering gear control for R1 wheel (input to nonlinear steering kinematics table)	0
IMP_DSTEER_CON_R2	deg/s	Steering	Derivative of steering gear control for R2 wheel (input to nonlinear steering kinematics table)	0
IMP_DSTEER_L1	deg/s	Steering	Derivative of direct control of steer of road wheel L1	0
IMP_DSTEER_L2	deg/s	Steering	Derivative of direct control of steer of road wheel L2	0
IMP_DSTEER_R1	deg/s	Steering	Derivative of direct control of steer of road wheel R1	0
IMP_DSTEER_R2	deg/s	Steering	Derivative of direct control of steer of road wheel R2	0
IMP_DSTEER_RACK_CON_L1	mm/s	Steering	Derivative of steering rack control for L1 wheel (input to nonlinear steering kinematics table)	0
IMP_DSTEER_RACK_CON_L2	mm/s	Steering	Derivative of steering rack control for L2 wheel (input to nonlinear steering kinematics table)	0
IMP_DSTEER_RACK_CON_R1	mm/s	Steering	Derivative of steering rack control for R1 wheel (input to nonlinear steering kinematics table)	0
IMP_DSTEER_RACK_CON_R2	mm/s	Steering	Derivative of steering rack control for R2 wheel (input to nonlinear steering kinematics table)	0
IMP_DSTEER_SW	deg/s	Steering	Steering wheel angular rate	0
