 Keyword	Units	Type	Component	Legend Label
AAx	rad/s2	Angular acceleration	Chassis motion	Roll acc. (body-fixed), vehicle	Vehicle roll (body-fixed)
AAy	rad/s2	Angular acceleration	Chassis motion	Pitch acc. (body-fixed), vehicle	Vehicle pitch (body-fixed)
AAy_L1	rad/s2	Angular acceleration	Wheels	Wheel L1 spin acceleration	Wheel L1 spin
AAy_L2	rad/s2	Angular acceleration	Wheels	Wheel L2 spin acceleration	Wheel L2 spin
AAy_R1	rad/s2	Angular acceleration	Wheels	Wheel R1 spin acceleration	Wheel R1 spin
AAy_R2	rad/s2	Angular acceleration	Wheels	Wheel R2 spin acceleration	Wheel R2 spin
AAz	rad/s2	Angular acceleration	Chassis motion	Yaw acc. (body-fixed), vehicle	Vehicle yaw (body-fixed)
AA_Eng	rad/s2	Angular acceleration	Powertrain	Engine crankshaft angular accel.	Engine crankshaft
AA_P	rad/s2	Angular acceleration	Chassis motion	Pitch accel. (Euler), vehicle	Vehicle pitch (Euler)
AA_R	rad/s2	Angular acceleration	Chassis motion	Roll accel. (Euler), vehicle	Vehicle roll (Euler)
AA_Y	rad/s2	Angular acceleration	Chassis motion	Yaw accel. (Euler), vehicle	Vehicle yaw (Euler)
Alpha_L1	deg	Angle	Tires	Lateral slip angle, tire L1	Tire L1 lateral slip
Alpha_L2	deg	Angle	Tires	Lateral slip angle, tire L2	Tire L2 lateral slip
Alpha_R1	deg	Angle	Tires	Lateral slip angle, tire R1	Tire R1 lateral slip
Alpha_R2	deg	Angle	Tires	Lateral slip angle, tire R2	Tire R2 lateral slip
AlphL_L1	deg	Angle	Tires	Lateral slip (lagged), tire L1	Tire L1 slip (lagged)
AlphL_L2	deg	Angle	Tires	Lateral slip (lagged), tire L2	Tire L2 slip (lagged)
AlphL_R1	deg	Angle	Tires	Lateral slip (lagged), tire R1	Tire R1 slip (lagged)
AlphL_R2	deg	Angle	Tires	Lateral slip (lagged), tire R2	Tire R2 slip (lagged)
AStKP_L1	deg	Angle	Steering	Steering angle about kingpin L1	Steering about kingpin L1
AStKP_L2	deg	Angle	Steering	Steering angle about kingpin L2	Steering about kingpin L2
AStKP_R1	deg	Angle	Steering	Steering angle about kingpin R1	Steering about kingpin R1
AStKP_R2	deg	Angle	Steering	Steering angle about kingpin R2	Steering about kingpin R2
AVx	deg/s	Angular rate	Chassis motion	Roll rate (body-fixed), vehicle	Vehicle roll (body-fixed)
AVx_L1	deg/s	Angular rate	Wheels	Roll rate, wheel L1	Roll rate, wheel L1
AVx_L2	deg/s	Angular rate	Wheels	Roll rate, wheel L2	Roll rate, wheel L2
AVx_R1	deg/s	Angular rate	Wheels	Roll rate, wheel R1	Roll rate, wheel R1
AVx_R2	deg/s	Angular rate	Wheels	Roll rate, wheel R2	Roll rate, wheel R2
AVx_S1	deg/s	Angular rate	Motion Sensors	Roll rate, sensor 1	Sensor 1 roll
AVy	deg/s	Angular rate	Chassis motion	Pitch rate (body-fixed), vehicle	Vehicle pitch (body-fixed)
AVy_L1	rpm	Driveline speed	Wheels	Wheel L1 spin	wheel L1
AVy_L2	rpm	Driveline speed	Wheels	Wheel L2 spin	wheel L2
AVy_R1	rpm	Driveline speed	Wheels	Wheel R1 spin	wheel R1
AVy_R2	rpm	Driveline speed	Wheels	Wheel R2 spin	wheel R2
AVy_S1	deg/s	Angular rate	Motion Sensors	Pitch rate, sensor 1	Sensor 1 pitch
AVy_W_L1	deg/s	Angular rate	Wheels	Pitch rate, wheel L1	Pitch rate, wheel L1
AVy_W_L2	deg/s	Angular rate	Wheels	Pitch rate, wheel L2	Pitch rate, wheel L2
AVy_W_R1	deg/s	Angular rate	Wheels	Pitch rate, wheel R1	Pitch rate, wheel R1
AVy_W_R2	deg/s	Angular rate	Wheels	Pitch rate, wheel R2	Pitch rate, wheel R2
AVz	deg/s	Angular rate	Chassis motion	Yaw rate (body-fixed), vehicle	Vehicle yaw (body-fixed)
AVz_L1	deg/s	Angular rate	Wheels	Yaw rate, wheel L1	Yaw rate, wheel L1
AVz_L2	deg/s	Angular rate	Wheels	Yaw rate, wheel L2	Yaw rate, wheel L2
AVz_R1	deg/s	Angular rate	Wheels	Yaw rate, wheel R1	Yaw rate, wheel R1
AVz_R2	deg/s	Angular rate	Wheels	Yaw rate, wheel R2	Yaw rate, wheel R2
AVz_S1	deg/s	Angular rate	Motion Sensors	Yaw rate, sensor 1	Sensor 1 yaw
AV_D3f	rpm	Driveline speed	Powertrain	Transfer case front shaft spin	Transfer case front output shaft
AV_D3r	rpm	Driveline speed	Powertrain	Transfer case rear shaft spin	Transfer case rear output shaft
AV_DS_L1	rpm	Driveline speed	Powertrain	Left-front driveshaft speed	LF driveshaft
AV_DS_L2	rpm	Driveline speed	Powertrain	Left-rear driveshaft speed	LR driveshaft
AV_DS_R1	rpm	Driveline speed	Powertrain	Right-front driveshaft speed	RF driveshaft
AV_DS_R2	rpm	Driveline speed	Powertrain	Right-rear driveshaft speed	RR driveshaft
AV_Eng	rpm	Driveline speed	Powertrain	Engine crankshaft spin	Engine crankshaft
AV_Gear1	deg/s	Angular rate	Steering	Axle 1 Pitman arm rotation rate	Axle 1 steering
AV_Gear2	deg/s	Angular rate	Steering	Axle 2 Pitman arm rotation rate	Axle 2 steering
AV_P	deg/s	Angular rate	Chassis motion	Pitch rate (Euler), vehicle	Vehicle pitch (Euler)
AV_R	deg/s	Angular rate	Chassis motion	Roll rate (Euler), vehicle	Vehicle roll (Euler)
AV_TC	rpm	Driveline speed	Powertrain	Trans input shaft spin	Transmission input shaft
AV_Trans	rpm	Driveline speed	Powertrain	Trans. output shaft spin	Transmission output shaft
AV_Y	deg/s	Angular rate	Chassis motion	Yaw rate (Euler), vehicle	Vehicle yaw (Euler)
Ax	g	Longitudinal acceleration	Chassis motion	Long. acceleration, vehicle	Vehicle total CG
Ax_Rd	g	Longitudinal acceleration	Chassis motion	Vehicle long. accel, road ref	Vehicle total CG
Ax_SCrq	g	Longitudinal acceleration	Speed controller	Ax request from SC PI controller	Ax request from SC PI controller
Ax_SM	g	Longitudinal acceleration	Chassis motion	Long. accel., vehicle SM CG	Vehicle SM CG
Ay	g	Lateral acceleration	Chassis motion	Lateral acceleration, vehicle	Vehicle total CG
Ay_Rd	g	Lateral acceleration	Chassis motion	Vehicle lat. accel, road ref	Vehicle total CG
Ay_SM	g	Lateral acceleration	Chassis motion	Lateral accel., vehicle SM CG	Vehicle SM CG
Az	g	Vertical acceleration	Chassis motion	Vertical acceleration, vehicle	Vehicle total CG
Az_Rd	g	Vertical acceleration	Chassis motion	Vehicle vert. accel, road ref	Vehicle total CG
Az_SM	g	Vertical acceleration	Chassis motion	Vertical accel., vehicle SM CG	Vehicle SM CG
A_Comp	deg	Angle	Instruments	Angle for HUD compass	vehicle
A_Gear1	deg	Angle	Steering	Axle 1 Pitman arm rotation	Axle 1 steering
A_Gear2	deg	Angle	Steering	Axle 2 Pitman arm rotation	Axle 2 steering
A_Speedo	deg	Angle	Instruments	Angle for speedometer needle	vehicle
A_Tach	deg	Angle	Instruments	Angle for HUD tachometer needle	vehicle
Beta	deg	Angle	Chassis motion	Vehicle slip angle	Vehicle slip
BetaAir	deg	Angle	Aerodynamics	Vehicle aero. slip angle	Vehicle aerodynamic slip
BetaR	deg/s	Angular rate	Chassis motion	Vehicle slip angle rate	Vehicle slip
BetaRd	deg	Angle	Chassis motion	Vehicle slip rel. to road ref	Vehicle slip rel. to road ref
BetaRdR	deg/s	Angular rate	Chassis motion	Vehicle slip rate rel. to road	Vehicle slip
Bk_Boost	mm	Displacement	Brakes	Brake booster displacement	Brake Booster
Bk_Pedal	mm	Displacement	Brakes	Brake pedal displacement	Brake Pedal
Bk_Stat	-	Boolean	Brakes	Brake apply status	Brake Control
CamberL1	deg	Angle	Suspensions	Camber angle, wheel L1	Wheel camber L1
CamberL2	deg	Angle	Suspensions	Camber angle, wheel L2	Wheel camber L2
CamberR1	deg	Angle	Suspensions	Camber angle, wheel R1	Wheel camber R1
CamberR2	deg	Angle	Suspensions	Camber angle, wheel R2	Wheel camber R2
CamUSL1	deg	Angle	Suspensions	Camber (unsteered whl) L1	Wheel camber L1
CamUSL2	deg	Angle	Suspensions	Camber (unsteered whl) L2	Wheel camber L2
CamUSR1	deg	Angle	Suspensions	Camber (unsteered whl) R1	Wheel camber R1
CamUSR2	deg	Angle	Suspensions	Camber (unsteered whl) R2	Wheel camber R2
Clt_D1_2	-	Clutch control	Powertrain	Front diff. 2nd clutch control	Front diff. second clutch
Clt_D2_2	-	Clutch control	Powertrain	Rear diff. 2nd clutch control	Rear diff. second clutch
Clt_D3_2	-	Clutch control	Powertrain	Trans. case, 2nd clutch control	Transfer case second clutch
ClutchD1	-	Clutch control	Powertrain	Front diff. clutch control	Front differential clutch
ClutchD2	-	Clutch control	Powertrain	Rear diff. clutch control	Rear differential clutch
ClutchD3	-	Clutch control	Powertrain	Transfer case clutch control	Transfer case clutch
ClutchL1	-	Clutch control	Powertrain	Front left whl. clutch control	Front left wheel clutch
ClutchL2	-	Clutch control	Powertrain	Rear left whl. clutch control	Rear left wheel clutch
ClutchR1	-	Clutch control	Powertrain	Front right whl. clutch control	Front right wheel clutch
ClutchR2	-	Clutch control	Powertrain	Rear right whl. clutch control	Rear right wheel clutch
ClutchTr	-	Clutch control	Powertrain	Transmission clutch control	Transmission clutch
cl_stat	-	Boolean	Powertrain	Clutch locked state	Clutch
CmpAD_L1	g	Compression acceleration	Suspensions	L1 damper compression accel.	L1 damper
CmpAD_L2	g	Compression acceleration	Suspensions	L2 damper compression accel.	L2 damper
CmpAD_R1	g	Compression acceleration	Suspensions	R1 damper compression accel.	R1 damper
CmpAD_R2	g	Compression acceleration	Suspensions	R2 damper compression accel.	R2 damper
CmpD_L1	mm	Compression	Suspensions	L1 damper compression	L1 damper
CmpD_L2	mm	Compression	Suspensions	L2 damper compression	L2 damper
CmpD_R1	mm	Compression	Suspensions	R1 damper compression	R1 damper
CmpD_R2	mm	Compression	Suspensions	R2 damper compression	R2 damper
CmpJStL1	mm	Compression	Suspensions	L1 susp jounce stop compr.	L1 jounce stop
CmpJStL2	mm	Compression	Suspensions	L2 susp jounce stop compr.	L2 jounce stop
CmpJStR1	mm	Compression	Suspensions	R1 susp jounce stop compr.	R1 jounce stop
CmpJStR2	mm	Compression	Suspensions	R2 susp jounce stop compr.	R2 jounce stop
CmpRD_L1	mm/s	Compression rate	Suspensions	L1 damper compression rate	L1 damper
CmpRD_L2	mm/s	Compression rate	Suspensions	L2 damper compression rate	L2 damper
CmpRD_R1	mm/s	Compression rate	Suspensions	R1 damper compression rate	R1 damper
CmpRD_R2	mm/s	Compression rate	Suspensions	R2 damper compression rate	R2 damper
CmpRStL1	mm	Compression	Suspensions	L1 susp rebound stop compr.	L1 rebound stop
CmpRStL2	mm	Compression	Suspensions	L2 susp rebound stop compr.	L2 rebound stop
CmpRStR1	mm	Compression	Suspensions	R1 susp rebound stop compr.	R1 rebound stop
CmpRStR2	mm	Compression	Suspensions	R2 susp rebound stop compr.	R2 rebound stop
CmpS_L1	mm	Compression	Suspensions	L1 spring compression	L1 spring
CmpS_L2	mm	Compression	Suspensions	L2 spring compression	L2 spring
CmpS_R1	mm	Compression	Suspensions	R1 spring compression	R1 spring
CmpS_R2	mm	Compression	Suspensions	R2 spring compression	R2 spring
CmpT_L1	mm	Compression	Tires	Compression, L1 tire	L1 tire
CmpT_L2	mm	Compression	Tires	Compression, L2 tire	L2 tire
CmpT_R1	mm	Compression	Tires	Compression, R1 tire	R1 tire
CmpT_R2	mm	Compression	Tires	Compression, R2 tire	R2 tire
dZdXair	-	Ground slope	Ground and road	X slope at road aero reference	X slope: road refence frame
dZdX_L1	-	Ground slope	Ground and road	Ground X slope under tire L1	X slopeL1
dZdX_L2	-	Ground slope	Ground and road	Ground X slope under tire L2	X slopeL2
dZdX_R1	-	Ground slope	Ground and road	Ground X slope under tire R1	X slopeR1
dZdX_R2	-	Ground slope	Ground and road	Ground X slope under tire R2	X slopeR2
dZdYair	-	Ground slope	Ground and road	Y slope at road aero reference	Y slope: road refence frame
dZdY_L1	-	Ground slope	Ground and road	Ground Y slope under tire L1	Y slopeL1
dZdY_L2	-	Ground slope	Ground and road	Ground Y slope under tire L2	Y slopeL2
dZdY_R1	-	Ground slope	Ground and road	Ground Y slope under tire R1	Y slopeR1
dZdY_R2	-	Ground slope	Ground and road	Ground Y slope under tire R2	Y slopeR2
Event	-	Count	Time	Running count of events	Event
FbkB_In	N	Force	Brakes	Brake booster input force	Brake Booster
FbkB_Out	N	Force	Brakes	Brake booster output force	Brake Booster
Fd_L1	N	Force	Suspensions	L1 damper force (compressive)	L1 damper
Fd_L2	N	Force	Suspensions	L2 damper force (compressive)	L2 damper
Fd_R1	N	Force	Suspensions	R1 damper force (compressive)	R1 damper
Fd_R2	N	Force	Suspensions	R2 damper force (compressive)	R2 damper
FJSt_L1	N	Force	Suspensions	L1 susp jounce stop force	L1 jounce stop
FJSt_L2	N	Force	Suspensions	L2 susp jounce stop force	L2 jounce stop
FJSt_R1	N	Force	Suspensions	R1 susp jounce stop force	R1 jounce stop
FJSt_R2	N	Force	Suspensions	R2 susp jounce stop force	R2 jounce stop
FRSt_L1	N	Force	Suspensions	L1 susp rebound stop force	L1 rebound stop
FRSt_L2	N	Force	Suspensions	L2 susp rebound stop force	L2 rebound stop
FRSt_R1	N	Force	Suspensions	R1 susp rebound stop force	R1 rebound stop
FRSt_R2	N	Force	Suspensions	R2 susp rebound stop force	R2 rebound stop
